"","x"
"PUR_HG01198",0.359753966069928
"PUR_HG01200",0.358489583720705
"PUR_HG01204",0.372553977969997
"PUR_HG01205",0.375246368619518
"PUR_HG01241",0.386506809070828
"PUR_HG01242",0.390262768402341
"PUR_HG01247",0.379619644039181
"PUR_HG01248",0.373647296824913
"CLM_HG01250",0.366611380928652
"CLM_HG01251",0.365384186295583
"CLM_HG01253",0.368381516217563
"CLM_HG01254",0.376711564635969
"CLM_HG01256",0.3674220731408
"CLM_HG01257",0.36091422281392
"CLM_HG01259",0.362386856373603
"CLM_HG01260",0.372576290599689
"CLM_HG01269",0.365317248406506
"CLM_HG01271",0.372531665340305
"CLM_HG01272",0.377812321034116
"CLM_HG01275",0.336779395030234
"CLM_HG01277",0.356726885975025
"CLM_HG01280",0.363933865365592
"CLM_HG01281",0.370739217421701
"CLM_HG01284",0.370092151160629
"PUR_HG01286",0.379493205804259
"PUR_HG01302",0.374391051147985
"PUR_HG01303",0.368693893033253
"PUR_HG01305",0.375982685399359
"PUR_HG01308",0.377425568786119
"PUR_HG01311",0.373528296133221
"PUR_HG01312",0.375722371386284
"PUR_HG01323",0.374748053223059
"PUR_HG01325",0.369995463098629
"PUR_HG01326",0.373349795095684
"GBR_HG01334",0.356585572653641
"CLM_HG01341",0.356243445665028
"CLM_HG01342",0.385629178969603
"CLM_HG01344",0.355254252415342
"CLM_HG01345",0.366618818471882
"CLM_HG01348",0.353022989446126
"CLM_HG01350",0.358601146869166
"CLM_HG01351",0.36153153890207
"CLM_HG01353",0.368255077982641
"CLM_HG01354",0.36029690672577
"CLM_HG01356",0.366544443039575
"CLM_HG01357",0.363167798412828
"CLM_HG01359",0.367920388537258
"CLM_HG01360",0.369236833689096
"CLM_HG01362",0.376004998029051
"CLM_HG01363",0.371252407904621
"CLM_HG01365",0.376116561177512
"CLM_HG01366",0.373297732293069
"CLM_HG01369",0.353469242039969
"CLM_HG01372",0.364499118651127
"CLM_HG01374",0.360140718317925
"CLM_HG01375",0.370173964136167
"CLM_HG01377",0.374264612913063
"CLM_HG01378",0.356593010196872
"CLM_HG01383",0.356213695492105
"CLM_HG01384",0.365324685949737
"CLM_HG01389",0.343287245357114
"CLM_HG01390",0.378563512900419
"PUR_HG01392",0.375157118100749
"PUR_HG01393",0.383449978803002
"PUR_HG01395",0.365235435430968
"PUR_HG01396",0.378600700616572
"PUR_HG01398",0.359731653440236
"PUR_HG01402",0.379753519817334
"PUR_HG01403",0.378504012554573
"PUR_HG01405",0.368835206354637
"PUR_HG01412",0.372650666031996
"PUR_HG01413",0.374331550802139
"PUR_HG01414",0.377306568094427
"CLM_HG01431",0.375647995953976
"CLM_HG01432",0.355797193071185
"CLM_HG01435",0.361167099283765
"CLM_HG01437",0.355395565736726
"CLM_HG01438",0.346708515243245
"CLM_HG01440",0.375179430730441
"CLM_HG01441",0.359642402921467
